#{"t_start": 1764313774.8809488, "env_id": "FlappyBird-v0"}
r,l,t
8.4,86,5.917711
4.5,56,5.940043
3.9,50,5.959724
3.9,50,5.978912
3.9,50,5.997204
6.0,62,6.021564
4.5,56,6.04373
4.5,56,6.068048
9.1,93,6.141084
4.9,60,6.166368
8.4,86,6.230291
4.9,60,6.25724
3.9,50,6.311206
3.9,50,6.334408
3.9,50,6.378796
3.9,50,6.409393
3.9,50,6.429012
22.4,199,6.548034
3.9,50,6.566651
4.2,53,6.587797
3.9,50,6.606114
3.9,50,6.62527
6.0,62,6.648029
3.9,50,6.669216
4.4,55,6.725002
4.4,55,6.746526
8.4,86,6.81497
4.1,52,6.838544
3.9,50,6.862135
3.9,50,6.916383
10.8,101,6.96101
3.9,50,6.978791
2.7,50,6.998283
3.9,50,7.016476
3.9,50,7.035545
8.8,90,7.068427
8.6,88,7.101405
3.9,50,7.120511
3.9,50,7.138906
3.9,50,7.181556
8.4,86,7.236835
3.9,50,7.257025
3.9,50,7.275263
3.9,50,7.294607
3.9,50,7.312745
3.9,50,7.332343
6.1,63,7.357021
4.0,51,7.375562
3.9,50,7.395048
3.9,50,7.413884
3.9,50,7.435539
8.4,86,7.473847
3.9,50,7.519763
3.9,50,7.538465
3.9,50,7.55775
4.5,56,7.579009
3.9,50,7.597406
3.9,50,7.620347
12.9,122,7.673661
15.2,136,7.724929
3.9,50,7.743764
8.4,86,7.776211
6.2,64,7.799716
8.4,86,7.831666
8.4,86,7.862856
8.4,86,7.894998
3.9,50,7.913158
4.7,58,7.935177
8.4,86,7.966863
8.4,86,7.99869
4.9,60,8.020713
3.9,50,8.038601
6.1,63,8.062538
9.0,92,8.097098
6.8,70,8.123394
8.4,86,8.155792
3.9,50,8.174536
8.4,86,8.205691
4.1,52,8.225069
4.8,59,8.246994
4.3,54,8.26713
12.9,122,8.316016
3.9,50,8.334107
12.9,122,8.380231
3.9,50,8.398679
6.4,66,8.423455
3.9,50,8.44131
8.4,86,8.473739
9.4,96,8.508728
8.4,86,8.540446
3.9,50,8.55925
3.9,50,8.577281
3.9,50,8.596504
4.5,56,8.617263
3.9,50,8.635112
8.4,86,8.667011
3.9,50,8.685617
3.9,50,8.704456
6.6,68,8.731383
8.4,86,8.764441
6.8,70,8.791694
8.4,86,8.824553
4.3,54,8.844831
8.4,86,8.876146
9.1,93,8.911711
3.9,50,8.929544
8.4,86,8.962186
3.9,50,8.980669
8.4,86,9.012941
12.9,122,9.057562
6.5,67,9.082415
3.9,50,9.100808
6.7,69,9.127213
3.9,50,9.145034
8.4,86,9.177334
3.9,50,9.195953
6.5,67,9.220755
5.0,61,9.243045
6.5,67,9.268588
3.9,50,9.405617
3.9,50,9.43751
6.0,62,9.464098
3.9,50,9.488595
3.9,50,9.511466
9.0,92,9.555472
4.6,57,9.584373
4.3,54,9.605293
4.8,59,9.628165
4.0,51,9.647844
3.9,50,9.666375
4.5,56,9.688004
3.9,50,9.709466
6.1,63,9.733469
4.9,60,9.756376
3.9,50,9.775851
8.4,86,9.809181
3.9,50,9.829651
4.7,58,9.850771
3.9,50,9.87037
6.8,70,9.89575
3.9,50,9.915033
3.9,50,9.933194
3.9,50,9.952229
11.0,103,9.990782
4.2,53,10.010415
3.9,50,10.028753
3.9,50,10.047876
4.9,60,10.070284
3.9,50,10.088356
3.9,50,10.107682
3.9,50,10.126024
8.4,86,10.158512
9.1,93,10.193866
3.9,50,10.214737
12.9,122,10.262414
13.8,131,10.313891
3.9,50,10.332093
3.9,50,10.35114
3.9,50,10.369232
3.9,50,10.388088
6.6,68,10.413877
10.5,98,10.449936
6.7,69,10.476145
4.3,54,10.495538
8.7,89,10.527393
9.4,96,10.562644
3.9,50,10.580941
4.5,56,10.601488
11.1,104,10.639787
17.9,163,10.699753
9.5,97,10.735238
8.4,86,10.766567
3.9,50,10.785345
13.2,125,10.831358
3.9,50,10.850331
6.1,63,10.872957
4.6,57,10.894384
3.9,50,10.912456
3.9,50,10.931456
3.9,50,10.949322
4.6,57,10.969968
-3.3,50,10.989826
6.2,64,11.014272
3.9,50,11.032528
3.9,50,11.052986
4.2,53,11.072752
3.9,50,11.091761
8.4,86,11.123968
5.0,61,11.147181
8.4,86,11.179721
8.7,89,11.213013
6.8,70,11.239486
3.9,50,11.258379
4.8,59,11.280376
3.9,50,11.298483
8.4,86,11.330948
4.1,52,11.350201
4.3,54,11.369565
4.0,51,11.388852
3.9,50,11.407522
3.9,50,11.425761
3.9,50,11.444894
8.6,88,11.477675
4.2,53,11.496855
8.8,90,11.530385
6.6,68,11.556096
3.9,50,11.575342
3.9,50,11.593955
3.9,50,11.613153
4.1,52,11.632257
4.3,54,11.651963
3.9,50,11.671123
3.9,50,11.690643
8.4,86,11.722768
3.9,50,11.741048
3.9,50,11.759976
9.4,96,11.795482
8.4,86,11.82646
3.9,50,11.845209
4.9,60,11.86731
10.5,98,11.902798
6.6,68,11.928182
3.9,50,11.947255
4.1,52,11.966326
3.9,50,11.984066
8.4,86,12.015569
3.9,50,12.033572
10.8,101,12.072756
3.9,50,12.090653
4.1,52,12.109569
3.9,50,12.128278
4.2,53,12.147703
3.9,50,12.165459
3.9,50,12.18436
3.9,50,12.202281
3.9,50,12.221199
3.9,50,12.239854
3.9,50,12.258909
6.0,62,12.281344
4.1,52,12.300558
0.3,50,12.319073
6.6,68,12.344068
6.1,63,12.366852
3.9,50,12.384661
3.9,50,12.403607
3.9,50,12.422043
3.9,50,12.44081
4.3,54,12.460037
3.9,50,12.479051
12.9,122,12.523667
5.0,61,12.545768
3.9,50,12.564328
3.9,50,12.582486
3.9,50,12.601078
3.9,50,12.619016
3.9,50,12.637944
3.9,50,12.656458
3.9,50,12.675431
3.9,50,12.693603
3.9,50,12.716074
5.0,61,12.739034
8.4,86,12.772399
4.5,56,12.794088
3.9,50,12.812236
3.9,50,12.831684
3.9,50,12.849985
3.9,50,12.869029
3.9,50,12.887531
8.4,86,12.920011
4.7,58,12.941021
6.6,68,12.966528
4.1,52,12.986068
3.9,50,13.005415
3.9,50,13.023844
3.9,50,13.042676
0.3,50,13.061042
3.9,50,13.080263
3.9,50,13.098994
3.9,50,13.117947
3.9,50,13.13624
3.9,50,13.155388
4.0,51,13.173822
3.9,50,13.192889
3.9,50,13.212906
3.9,50,13.232015
4.8,59,13.254308
3.9,50,13.272499
4.1,52,13.29178
3.9,50,13.310672
4.5,56,13.331481
3.9,50,13.349653
6.4,66,13.374495
3.9,50,13.392745
3.9,50,13.411623
4.7,58,13.432825
3.9,50,13.451713
3.9,50,13.470623
4.7,58,13.495453
3.9,50,13.513799
3.9,50,13.533259
3.9,50,13.553439
6.3,65,13.57764
4.5,56,13.599104
10.6,99,13.635979
3.9,50,13.655292
3.9,50,13.674054
8.4,86,13.706558
3.9,50,13.725027
3.9,50,13.74396
8.4,86,13.775029
8.4,86,13.807253
3.9,50,13.825679
3.9,50,13.844796
3.9,50,13.863118
9.3,95,13.898678
3.9,50,13.916888
3.9,50,13.936283
4.8,59,13.958195
3.9,50,13.977202
8.4,86,14.009798
10.8,101,14.04797
4.3,54,14.067825
0.9,50,14.08692
8.4,86,14.118646
3.9,50,14.137789
3.9,50,14.15625
3.9,50,14.175791
3.9,50,14.193919
17.9,163,14.25496
3.9,50,14.273982
3.9,50,14.292148
3.9,50,14.311396
3.9,50,14.329562
3.9,50,14.348485
4.5,56,14.369363
17.9,163,14.42925
3.9,50,14.448198
3.9,50,14.466044
4.8,59,14.488149
3.9,50,14.506955
3.9,50,14.524986
2.0,31,14.53722
6.4,66,14.562177
3.9,50,14.581463
3.9,50,14.601784
9.1,93,14.639678
3.9,50,14.65786
4.5,56,14.679106
4.4,55,14.701587
8.4,86,14.733557
3.9,50,14.752533
3.9,50,14.770303
8.4,86,14.802533
3.9,50,14.820409
12.9,122,14.865694
8.9,91,14.899193
6.3,65,14.923078
3.9,50,14.940402
3.9,50,14.9593
3.9,50,14.977117
8.4,86,15.009121
3.9,50,15.027138
4.7,58,15.049269
4.5,56,15.069792
3.9,50,15.087747
10.5,98,15.124333
3.9,50,15.144036
3.9,50,15.163702
4.3,54,15.184094
3.9,50,15.203821
3.9,50,15.222403
9.1,93,15.259928
17.9,163,15.322665
6.2,64,15.346324
3.9,50,15.365726
4.4,55,15.386712
3.9,50,15.404954
3.9,50,15.425231
8.4,86,15.457269
8.4,86,15.48971
4.2,53,15.509317
3.9,50,15.527498
8.9,91,15.561783
12.9,122,15.608401
4.8,59,15.631193
3.9,50,15.650513
10.7,100,15.688215
8.9,91,15.722202
6.4,66,15.748182
3.9,50,15.767634
8.4,86,15.800065
6.8,70,15.827147
3.9,50,15.845409
2.0,31,15.857236
3.9,50,15.876217
3.9,50,15.895685
3.9,50,15.914294
3.9,50,15.933904
3.9,50,15.952901
2.0,31,15.964972
3.9,50,15.984982
8.4,86,16.022247
3.9,50,16.041417
8.5,87,16.077712
8.4,86,16.111556
3.9,50,16.130336
2.0,31,16.142783
2.0,31,16.155647
4.5,56,16.179066
3.9,50,16.198084
2.0,31,16.210539
4.3,54,16.23117
3.9,50,16.249843
3.9,50,16.271311
9.4,96,16.308682
3.9,50,16.327427
3.9,50,16.346326
3.9,50,16.364724
3.9,50,16.383784
3.9,50,16.402532
8.4,86,16.43628
3.9,50,16.455366
3.9,50,16.47455
3.9,50,16.493568
12.9,122,16.540814
2.0,31,16.552311
2.0,31,16.564497
-0.9,50,16.583882
2.0,31,16.595132
4.1,52,16.614809
3.9,50,16.633932
8.4,86,16.665619
6.6,68,16.690992
3.9,50,16.710061
3.9,50,16.728223
6.4,66,16.75633
6.5,67,16.782982
3.9,50,16.80186
3.9,50,16.821119
3.9,50,16.839275
3.9,50,16.8586
2.0,31,16.869517
3.9,50,16.88866
8.4,86,16.919995
3.9,50,16.938813
3.9,50,16.957072
2.2,33,16.970517
11.0,103,17.008403
3.9,50,17.027193
12.9,122,17.071707
3.9,50,17.090835
3.9,50,17.108831
3.9,50,17.127884
12.9,122,17.172926
3.9,50,17.192083
3.9,50,17.21044
2.0,31,17.222137
3.9,50,17.241272
8.6,88,17.273946
2.0,31,17.284928
2.0,31,17.296569
3.9,50,17.315499
4.1,52,17.336338
8.4,86,17.373374
6.8,70,17.400267
3.9,50,17.420508
