#{"t_start": 1764313774.8809488, "env_id": "FlappyBird-v0"}
r,l,t
3.9,50,29.67718
3.9,50,29.695077
3.9,50,29.714124
6.6,68,29.739258
8.4,86,29.770831
6.4,66,29.795811
3.9,50,29.813952
-0.9,50,29.832693
6.7,69,29.858162
8.4,86,29.891334
8.4,86,29.923424
6.7,69,29.94921
6.2,64,29.972979
3.9,50,29.994827
4.7,58,30.016989
3.9,50,30.036536
4.9,60,30.059581
4.5,56,30.081189
8.4,86,30.113245
3.9,50,30.132786
10.8,101,30.174687
3.9,50,30.194527
4.6,57,30.215797
8.4,86,30.253789
6.5,67,30.283191
3.9,50,30.303678
8.4,86,30.337409
3.9,50,30.358052
6.8,70,30.384049
9.3,95,30.420123
9.2,94,30.456398
17.9,163,30.519245
4.0,51,30.539183
8.4,86,30.571105
3.9,50,30.590576
4.4,55,30.61134
9.5,97,30.649404
8.4,86,30.681167
8.4,86,30.713547
8.4,86,30.745272
8.4,86,30.778026
8.4,86,30.809653
12.9,122,30.855808
6.6,68,30.881762
6.8,70,30.907272
8.4,86,30.946999
8.4,86,30.979869
3.9,50,30.998922
8.4,86,31.031333
6.1,63,31.055613
3.9,50,31.07522
8.4,86,31.107522
6.8,70,31.134721
8.4,86,31.16729
8.4,86,31.201143
9.1,93,31.237853
6.4,66,31.262195
8.4,86,31.295419
12.9,122,31.341774
13.6,129,31.394634
4.3,54,31.414894
3.9,50,31.43425
3.9,50,31.452642
12.9,122,31.499204
6.0,62,31.5225
8.4,86,31.555683
3.9,50,31.574438
18.2,166,31.637274
4.7,58,31.658272
12.9,122,31.706124
6.5,67,31.731309
8.4,86,31.764923
8.4,86,31.797613
24.6,212,31.879961
6.0,62,31.904953
5.0,61,31.927985
8.4,86,31.961637
8.4,86,31.994672
3.9,50,32.014293
8.4,86,32.047136
8.4,86,32.080111
10.7,100,32.118101
8.4,86,32.149631
3.9,50,32.168923
4.8,59,32.190734
4.6,57,32.213267
17.9,163,32.277185
6.2,64,32.301565
8.4,86,32.33529
9.2,94,32.370149
3.9,50,32.38922
8.4,86,32.420916
3.9,50,32.440175
6.3,65,32.464673
12.9,122,32.510947
8.4,86,32.543235
8.4,86,32.57619
8.4,86,32.60821
8.4,86,32.640996
6.5,67,32.665042
8.4,86,32.697977
3.9,50,32.716341
3.9,50,32.735834
8.4,86,32.767658
3.9,50,32.786553
12.9,122,32.836336
5.0,61,32.86151
8.4,86,32.893893
4.6,57,32.915078
4.3,54,32.936138
31.9,276,33.041716
6.7,69,33.068308
11.3,106,33.110122
3.9,50,33.128829
18.8,172,33.195294
8.4,86,33.229777
4.8,59,33.251904
6.1,63,33.276042
2.0,31,33.288433
22.5,200,33.365832
5.0,61,33.38891
12.9,122,33.436996
3.9,50,33.455658
6.8,70,33.482897
8.4,86,33.515584
6.0,62,33.54019
6.6,68,33.566551
10.8,101,33.609448
9.3,95,33.645521
12.9,122,33.691119
22.4,199,33.766699
4.2,53,33.786569
8.4,86,33.819436
8.4,86,33.85167
5.0,61,33.87424
4.5,56,33.895309
8.5,87,33.932145
6.0,62,33.955524
3.9,50,33.975594
8.4,86,34.01168
6.8,70,34.039504
3.9,50,34.062423
8.4,86,34.095929
8.4,86,34.129265
3.9,50,34.147973
3.9,50,34.16733
3.9,50,34.185962
8.9,91,34.220916
6.3,65,34.246186
8.6,88,34.282143
2.0,31,34.296786
8.4,86,34.330736
3.9,50,34.350236
12.9,122,34.397708
5.0,61,34.423799
8.4,86,34.458763
6.2,64,34.483876
15.6,140,34.537817
2.0,31,34.551187
4.7,58,34.574829
8.4,86,34.608381
12.9,122,34.657381
10.5,98,34.696915
3.9,50,34.715848
8.4,86,34.751291
8.4,86,34.788743
3.9,50,34.810673
20.8,183,34.881264
8.6,88,34.915293
-3.3,50,34.93456
8.4,86,34.967944
8.4,86,35.000344
10.6,99,35.037806
20.8,183,35.110853
22.4,199,35.185793
5.0,61,35.210527
8.4,86,35.248394
6.6,68,35.279106
4.9,60,35.303152
8.4,86,35.340396
3.9,50,35.360188
4.7,58,35.384561
20.4,179,35.452374
17.9,163,35.514361
4.6,57,35.536413
12.9,122,35.583235
13.1,124,35.631318
5.0,61,35.654455
8.4,86,35.687596
8.4,86,35.720994
6.0,62,35.745189
8.6,88,35.778695
13.9,132,35.828845
6.8,70,35.85513
12.9,122,35.902485
8.4,86,35.935847
3.9,50,35.955023
8.4,86,35.988194
6.5,67,36.013852
8.4,86,36.045723
8.4,86,36.078538
8.4,86,36.110594
3.9,50,36.129349
6.3,65,36.153499
4.1,52,36.17321
11.3,106,36.214331
6.5,67,36.242134
6.0,62,36.266929
8.4,86,36.302944
3.9,50,36.322408
6.8,70,36.348814
11.0,103,36.389011
6.5,67,36.416934
12.9,122,36.465731
11.3,106,36.507789
4.7,58,36.529347
8.8,90,36.564965
8.4,86,36.59789
6.8,70,36.62448
8.4,86,36.6561
4.2,53,36.676325
8.4,86,36.708869
12.9,122,36.758351
7.8,86,36.791565
12.9,122,36.839744
8.4,86,36.872382
4.1,52,36.892744
10.9,102,36.931943
8.4,86,36.967398
8.4,86,37.004725
4.9,60,37.027178
8.4,86,37.060753
8.4,86,37.096298
4.4,55,37.116601
3.9,50,37.136401
3.9,50,37.155365
4.7,58,37.178457
3.9,50,37.197227
-3.3,50,37.216999
6.5,67,37.243237
3.9,50,37.261833
10.6,99,37.30007
6.2,64,37.324888
8.7,89,37.358853
8.4,86,37.391542
4.7,58,37.412583
6.7,69,37.438204
12.9,122,37.484646
8.4,86,37.516477
8.4,86,37.549495
6.3,65,37.573411
10.5,98,37.610484
17.9,163,37.670774
3.9,50,37.690086
6.7,69,37.71578
6.7,69,37.744045
12.9,122,37.793021
3.9,50,37.811425
12.9,122,37.858698
13.3,126,37.907102
8.4,86,37.940995
8.4,86,37.97787
8.7,89,38.013836
3.9,50,38.032491
6.3,65,38.056769
3.9,50,38.076409
8.4,86,38.108171
6.0,62,38.131658
6.8,70,38.157405
8.4,86,38.190497
6.4,66,38.215281
8.4,86,38.247903
6.6,68,38.273247
8.9,91,38.308245
8.9,91,38.341929
8.5,87,38.375817
4.5,56,38.3967
6.4,66,38.42224
3.9,50,38.44087
6.3,65,38.465313
4.1,52,38.48475
3.9,50,38.504234
8.9,91,38.541145
8.4,86,38.574041
8.4,86,38.607523
3.9,50,38.626045
3.9,50,38.645922
8.4,86,38.681802
8.4,86,38.717144
3.9,50,38.735793
8.4,86,38.769183
6.6,68,38.795482
4.2,53,38.818355
3.9,50,38.836908
15.5,139,38.890746
4.8,59,38.915696
6.7,69,38.942709
4.2,53,38.965638
8.4,86,39.006119
6.7,69,39.037482
3.9,50,39.059722
4.0,51,39.078678
8.4,86,39.112515
8.4,86,39.144676
6.1,63,39.168528
4.0,51,39.188194
3.9,50,39.206581
9.4,96,39.247996
10.9,102,39.287216
11.1,104,39.326595
11.2,105,39.49085
6.7,69,39.520255
6.8,70,39.549938
6.2,64,39.575743
15.7,141,39.634813
8.4,86,39.677584
6.5,67,39.705132
6.2,64,39.730764
6.7,69,39.760112
6.6,68,39.786714
6.4,66,39.814783
6.4,66,39.844008
11.1,104,39.884572
4.7,58,39.906749
9.2,94,39.94281
8.4,86,39.975183
4.0,51,39.994883
8.6,88,40.028634
8.4,86,40.062614
8.4,86,40.0967
4.1,52,40.115932
8.4,86,40.148893
6.4,66,40.17403
3.9,50,40.192307
3.9,50,40.211735
8.4,86,40.243839
3.9,50,40.263421
6.6,68,40.289648
11.3,106,40.330537
8.4,86,40.365674
6.6,68,40.394318
6.6,68,40.420502
6.2,64,40.444848
3.9,50,40.4635
19.0,174,40.530421
6.6,68,40.556507
8.4,86,40.589394
8.9,91,40.623817
3.9,50,40.6431
6.6,68,40.668553
9.2,94,40.703429
10.9,102,40.742989
6.6,68,40.76853
6.5,67,40.795942
8.4,86,40.830299
15.6,140,40.884313
10.5,98,40.922162
6.8,70,40.949342
6.4,66,40.974198
8.5,87,41.008862
8.5,87,41.04181
13.6,129,41.090073
8.4,86,41.122741
8.4,86,41.154548
4.4,55,41.17754
3.9,50,41.19641
6.6,68,41.222191
6.7,69,41.248626
3.9,50,41.267927
3.9,50,41.287997
22.4,199,41.365968
3.9,50,41.385872
3.9,50,41.404939
8.4,86,41.438927
3.9,50,41.459328
8.4,86,41.4927
3.9,50,41.513405
10.5,98,41.553222
8.4,86,41.586137
4.4,55,41.607353
6.3,65,41.633546
6.1,63,41.661362
12.9,122,41.711778
6.4,66,41.736262
2.2,33,41.748763
6.2,64,41.773707
4.9,60,41.79713
8.4,86,41.830239
3.9,50,41.849113
8.8,90,41.884236
6.3,65,41.909073
8.4,86,41.944053
15.6,140,41.998981
19.0,174,42.06636
10.7,100,42.105322
8.4,86,42.138236
8.4,86,42.169549
8.6,88,42.202778
22.4,199,42.277723
2.0,31,42.289716
6.1,63,42.312523
3.9,50,42.331747
8.4,86,42.365497
8.4,86,42.405044
12.9,122,42.45132
2.4,35,42.465235
11.3,106,42.509559
8.4,86,42.542226
3.9,50,42.561496
4.7,58,42.582869
6.7,69,42.60879
20.7,182,42.679276
8.4,86,42.711245
15.3,137,42.765909
6.1,63,42.789549
5.0,61,42.813694
8.4,86,42.846303
8.4,86,42.879508
4.5,56,42.901208
15.1,135,42.951649
4.7,58,42.973972
8.4,86,43.005339
12.9,122,43.052124
6.1,63,43.076339
8.4,86,43.108862
4.0,51,43.12974
8.4,86,43.162909
9.4,96,43.200526
11.2,105,43.242402
13.1,124,43.298139
5.0,61,43.321035
34.3,291,43.436745
8.8,90,43.470888
4.5,56,43.494592
8.4,86,43.528968
8.4,86,43.561178
8.4,86,43.594541
8.4,86,43.626509
8.4,86,43.662146
18.7,171,43.730769
8.4,86,43.764371
14.0,133,43.814303
6.5,67,43.840217
3.9,50,43.858791
13.1,124,43.906135
8.4,86,43.939659
13.6,129,43.989416
8.4,86,44.023016
3.9,50,44.042138
3.9,50,44.0618
6.5,67,44.086144
8.4,86,44.119784
6.8,70,44.146157
6.2,64,44.17109
12.9,122,44.220401
6.2,64,44.246516
8.4,86,44.28022
8.4,86,44.31993
9.5,97,44.356708
12.9,122,44.409456
10.9,102,44.450225
3.9,50,44.469632
8.4,86,44.502069
12.9,122,44.54954
8.4,86,44.582347
6.6,68,44.610406
4.3,54,44.631788
8.8,90,44.666375
8.4,86,44.700939
6.1,63,44.724005
8.4,86,44.756668
8.4,86,44.788261
3.9,50,44.80729
10.7,100,44.844886
8.4,86,44.876714
8.6,88,44.910205
8.4,86,44.9429
4.2,53,44.96441
12.9,122,45.010398
12.9,122,45.055571
5.0,61,45.079515
8.4,86,45.112303
-9.3,50,45.130701
8.4,86,45.163575
8.4,86,45.195204
8.4,86,45.228095
6.6,68,45.253672
12.9,122,45.298994
8.4,86,45.331799
8.4,86,45.363833
6.1,63,45.387598
3.9,50,45.407007
6.0,62,45.42956
4.5,56,45.450565
6.1,63,45.47496
6.1,63,45.49895
5.0,61,45.521444
8.7,89,45.554334
8.4,86,45.586801
4.0,51,45.605337
8.4,86,45.639173
8.4,86,45.673037
6.7,69,45.702336
8.4,86,45.73417
4.1,52,45.754201
3.9,50,45.773476
8.4,86,45.805331
8.4,86,45.8385
12.9,122,45.883914
3.9,50,45.902565
8.4,86,45.934587
9.2,94,45.970302
8.4,86,46.002511
12.9,122,46.048741
8.4,86,46.082128
8.4,86,46.115186
6.4,66,46.1397
8.4,86,46.172708
6.3,65,46.198034
12.9,122,46.25127
6.1,63,46.275589
9.5,97,46.312328
8.4,86,46.346612
8.4,86,46.380202
3.9,50,46.400404
8.4,86,46.433579
3.9,50,46.454512
2.0,31,46.469062
8.4,86,46.503169
2.0,31,46.515604
8.4,86,46.548038
4.7,58,46.573495
8.4,86,46.605922
8.4,86,46.649585
8.9,91,46.68877
4.9,60,46.711248
6.8,70,46.738081
4.7,58,46.760407
3.9,50,46.77892
6.3,65,46.803221
6.4,66,46.828966
6.0,62,46.856664
6.7,69,46.889243
11.0,103,46.92773
8.4,86,46.960675
8.4,86,46.993119
3.9,50,47.012285
6.6,68,47.038756
17.9,163,47.106549
8.4,86,47.142067
10.8,101,47.18386
12.9,122,47.232657
3.9,50,47.252619
8.4,86,47.286231
6.6,68,47.312051
6.6,68,47.337682
17.9,163,47.399878
8.4,86,47.43201
6.0,62,47.45569
6.5,67,47.480083
6.1,63,47.503659
20.8,183,47.573196
6.8,70,47.599349
6.8,70,47.628785
3.9,50,47.646954
8.4,86,47.680036
8.4,86,47.712431
4.9,60,47.735786
12.9,122,47.782293
8.4,86,47.814415
8.4,86,47.846984
12.9,122,47.893028
8.4,86,47.929933
3.9,50,47.948575
8.4,86,47.981734
6.2,64,48.006087
6.6,68,48.032057
4.5,56,48.053102
8.6,88,48.086257
-3.3,50,48.106941
12.9,122,48.154023
8.4,86,48.186634
20.2,177,48.256652
8.4,86,48.291363
3.9,50,48.310633
4.6,57,48.331875
12.9,122,48.378675
8.4,86,48.411616
8.5,87,48.445437
20.8,183,48.518014
6.7,69,48.546597
6.0,62,48.569824
12.9,122,48.618907
6.1,63,48.643225
8.4,86,48.680607
6.7,69,48.706909
6.0,62,48.730994
4.6,57,48.752016
4.7,58,48.773455
11.0,103,48.812372
-6.3,50,48.831693
8.4,86,48.864039
8.4,86,48.896868
12.9,122,48.942404
6.1,63,48.966559
8.4,86,48.998247
8.4,86,49.031287
27.9,245,49.124237
8.4,86,49.156885
-3.3,50,49.174969
12.9,122,49.221878
8.4,86,49.254245
8.4,86,49.291049
6.8,70,49.322736
3.9,50,49.342919
6.2,64,49.367578
6.8,70,49.39532
10.8,101,49.438962
4.9,60,49.46223
12.9,122,49.510718
17.9,163,49.574939
8.7,89,49.608843
3.9,50,49.628674
9.0,92,49.663835
4.9,60,49.686747
8.4,86,49.720484
6.6,68,49.746985
8.4,86,49.780904
8.4,86,49.814017
-0.3,50,49.831997
6.6,68,49.857968
8.4,86,49.891057
8.4,86,49.922811
6.1,63,49.946836
8.4,86,49.98288
8.4,86,50.016959
3.9,50,50.036746
6.4,66,50.062059
6.0,62,50.087739
8.4,86,50.124835
3.9,50,50.146922
5.0,61,50.169783
5.0,61,50.192533
6.6,68,50.218811
6.4,66,50.244574
6.1,63,50.267368
4.4,55,50.289989
8.4,86,50.323591
10.9,102,50.362081
8.4,86,50.395152
12.9,122,50.441046
4.9,60,50.463559
8.4,86,50.497997
6.5,67,50.524874
12.9,122,50.571687
3.9,50,50.590024
3.9,50,50.60963
12.9,122,50.655047
8.4,86,50.688053
3.9,50,50.706518
8.5,87,50.746742
5.0,61,50.770116
12.9,122,50.817358
8.4,86,50.849717
8.4,86,50.883285
8.4,86,50.916099
8.4,86,50.948792
8.4,86,50.980899
8.4,86,51.014367
9.3,95,51.050788
3.9,50,51.069552
8.8,90,51.104837
8.4,86,51.137236
8.4,86,51.170686
12.9,122,51.222476
10.5,98,51.265764
20.7,182,51.334674
4.0,51,51.353958
8.4,86,51.386391
10.6,99,51.423952
12.9,122,51.470659
4.4,55,51.490562
6.7,69,51.517946
-6.3,50,51.536507
8.4,86,51.575458
3.9,50,51.594142
6.2,64,51.619143
4.9,60,51.641743
4.2,53,51.661631
6.3,65,51.686855
23.1,206,51.765615
8.4,86,51.799249
3.9,50,51.818222
8.4,86,51.851617
12.9,122,51.897575
4.8,59,51.920402
8.4,86,51.956688
8.4,86,51.990173
8.4,86,52.023066
8.4,86,52.058336
6.3,65,52.088885
8.7,89,52.122757
8.4,86,52.156438
8.4,86,52.188946
5.0,61,52.212837
6.1,63,52.235642
12.9,122,52.28563
6.3,65,52.31064
12.9,122,52.357576
12.9,122,52.403644
8.4,86,52.436902
3.9,50,52.455436
4.5,56,52.478341
8.4,86,52.511717
10.9,102,52.55081
8.4,86,52.58409
12.9,122,52.631157
8.4,86,52.667128
8.4,86,52.699903
13.2,125,52.748246
4.5,56,52.770579
4.9,60,52.794329
3.9,50,52.813593
11.1,104,52.853118
5.0,61,52.8762
10.8,101,52.915192
3.9,50,52.93418
4.4,55,52.955222
8.7,89,52.988576
3.9,50,53.007176
6.5,67,53.032821
8.4,86,53.065974
4.2,53,53.085807
3.9,50,53.105415
6.4,66,53.130521
4.4,55,53.151313
4.0,51,53.169659
2.0,31,53.181978
8.4,86,53.215095
3.9,50,53.233413
3.9,50,53.25308
8.4,86,53.285345
3.9,50,53.304281
6.0,62,53.32752
10.6,99,53.364857
3.9,50,53.383499
4.0,51,53.403342
8.4,86,53.436019
8.4,86,53.467956
8.4,86,53.500876
3.9,50,53.519251
4.9,60,53.541976
6.0,62,53.565578
3.9,50,53.584166
2.0,31,53.596477
4.9,60,53.622673
3.9,50,53.642531
8.5,87,53.679728
4.4,55,53.701011
2.0,31,53.713096
8.8,90,53.747103
8.4,86,53.780599
4.6,57,53.802821
2.0,31,53.815179
12.9,122,53.862135
3.9,50,53.88212
3.9,50,53.901075
3.9,50,53.921021
3.9,50,53.939818
2.0,31,53.952617
8.5,87,53.985608
3.9,50,54.003848
4.5,56,54.025156
8.4,86,54.057997
2.0,31,54.069351
2.0,31,54.081253
8.4,86,54.119143
3.9,50,54.141526
3.9,50,54.165221
2.0,31,54.178878
4.0,51,54.198589
2.0,31,54.21083
8.4,86,54.243063
2.0,31,54.255533
2.0,31,54.267612
12.9,122,54.313391
2.0,31,54.325994
2.0,31,54.338066
2.0,31,54.350289
8.4,86,54.525639
4.3,54,54.559488
3.9,50,54.584544
8.4,86,54.620765
3.9,50,54.649767
4.0,51,54.67726
2.0,31,54.693805
2.0,31,54.70945
2.0,31,54.72566
2.0,31,54.739725
8.4,86,54.773034
2.0,31,54.785218
4.6,57,54.806879
3.6,47,54.825683
2.0,31,54.838615
2.0,31,54.852659
3.9,50,54.871245
4.4,55,54.892248
3.9,50,54.912573
3.9,50,54.935262
6.1,63,54.959501
2.0,31,54.971373
3.8,49,54.995051
2.0,31,55.006695
2.0,31,55.018696
3.9,50,55.038098
4.0,51,55.056861
3.9,50,55.07618
2.0,31,55.088289
2.0,31,55.09932
4.0,51,55.119042
3.9,50,55.138264
3.6,47,55.155734
8.4,86,55.190432
3.9,50,55.211326
3.9,50,55.230595
3.9,50,55.249057
3.9,50,55.268598
6.4,66,55.295979
2.0,31,55.310781
4.0,51,55.334472
3.9,50,55.354202
4.0,51,55.373796
4.2,53,55.393712
3.9,50,55.413457
3.9,50,55.432304
3.9,50,55.451915
3.9,50,55.470749
3.9,50,55.490644
3.9,50,55.509274
3.9,50,55.52915
3.9,50,55.548565
8.9,91,55.584612
4.8,59,55.607638
3.9,50,55.62658
4.3,54,55.647272
3.9,50,55.665731
3.9,50,55.685143
3.0,41,55.700283
4.5,56,55.725265
3.9,50,55.744522
3.9,50,55.762966
3.9,50,55.782776
3.9,50,55.801694
3.9,50,55.820652
3.9,50,55.839228
3.9,50,55.858357
4.7,58,55.879533
3.9,50,55.898646
8.4,86,55.930388
2.0,31,55.942396
8.4,86,55.973998
4.3,54,55.994703
3.9,50,56.013072
4.7,58,56.035234
4.9,60,56.057152
3.9,50,56.075372
8.4,86,56.108161
8.4,86,56.139742
4.0,51,56.15946
3.9,50,56.189221
3.9,50,56.20819
10.7,100,56.246957
3.9,50,56.266758
4.2,53,56.286434
17.9,163,56.349015
8.4,86,56.38213
6.0,62,56.405992
3.9,50,56.424438
4.5,56,56.445403
8.6,88,56.478847
4.9,60,56.501487
3.9,50,56.520388
3.9,50,56.538926
3.9,50,56.559898
6.0,62,56.583246
4.4,55,56.604273
4.6,57,56.626268
10.7,100,56.665009
4.7,58,56.68755
8.4,86,56.720137
3.9,50,56.739818
10.6,99,56.778113
8.5,87,56.813695
15.0,134,56.865382
3.9,50,56.883611
3.9,50,56.902809
12.9,122,56.948917
2.0,31,56.961118
3.9,50,56.979668
3.9,50,56.999238
3.9,50,57.017533
3.9,50,57.036708
3.9,50,57.055011
3.9,50,57.074941
3.9,50,57.093233
3.9,50,57.112652
3.9,50,57.131129
8.4,86,57.164009
6.6,68,57.189998
15.1,135,57.241535
6.4,66,57.266166
4.8,59,57.288431
12.9,122,57.334618
3.9,50,57.354142
9.5,97,57.391613
8.5,87,57.424932
4.8,59,57.446993
22.4,199,57.521375
12.9,122,57.567514
3.9,50,57.585798
12.9,122,57.633135
8.4,86,57.665642
3.9,50,57.685408
3.9,50,57.70547
4.8,59,57.728073
8.4,86,57.761576
8.4,86,57.800868
4.9,60,57.828762
3.9,50,57.848342
10.7,100,57.892001
8.4,86,57.925421
4.3,54,57.946169
12.9,122,57.992249
3.9,50,58.011872
17.9,163,58.073166
6.2,64,58.09735
8.4,86,58.130627
3.9,50,58.148791
4.6,57,58.17083
4.0,51,58.189235
4.2,53,58.210012
4.3,54,58.230217
4.0,51,58.249845
12.9,122,58.295379
3.9,50,58.31463
3.9,50,58.334202
3.9,50,58.353709
8.4,86,58.385386
3.9,50,58.404828
8.4,86,58.439803
8.4,86,58.473371
3.9,50,58.49396
3.9,50,58.513415
4.7,58,58.534745
3.9,50,58.554332
8.4,86,58.586324
3.9,50,58.605583
6.1,63,58.62949
3.9,50,58.648014
8.4,86,58.681032
3.9,50,58.699589
3.9,50,58.71932
3.9,50,58.73763
3.9,50,58.757065
3.9,50,58.775747
3.9,50,58.795156
3.9,50,58.813762
4.3,54,58.834782
3.9,50,58.853156
3.9,50,58.873194
12.9,122,58.922442
3.9,50,58.941962
18.0,164,59.01407
3.9,50,59.036566
8.5,87,59.077217
8.4,86,59.11196
4.0,51,59.134221
12.9,122,59.18182
3.9,50,59.202741
3.9,50,59.225097
3.9,50,59.243728
3.9,50,59.262952
8.4,86,59.295691
3.9,50,59.315375
3.9,50,59.333984
12.9,122,59.38574
12.9,122,59.439308
3.9,50,59.459875
3.9,50,59.478287
3.9,50,59.497573
3.9,50,59.517452
-5.7,50,59.539161
6.1,63,59.562232
27.0,236,59.658389
8.4,86,59.69189
3.9,50,59.710288
3.9,50,59.731368
8.4,86,59.764895
3.9,50,59.78666
8.4,86,59.823671
3.9,50,59.842707
3.9,50,59.864286
3.9,50,59.886489
4.7,58,59.90761
3.9,50,59.926578
4.5,56,59.947649
3.9,50,59.965963
3.9,50,59.985335
3.9,50,60.003695
12.9,122,60.050121
3.9,50,60.068655
8.4,86,60.10203
3.9,50,60.120917
3.9,50,60.140506
11.1,104,60.180616
3.9,50,60.198819
3.9,50,60.218507
4.1,52,60.238118
3.9,50,60.256532
3.9,50,60.275906
3.9,50,60.294329
3.9,50,60.313117
4.9,60,60.33621
3.9,50,60.354731
3.9,50,60.374268
-0.9,50,60.392612
3.9,50,60.411938
3.9,50,60.430566
3.9,50,60.450183
3.9,50,60.469603
3.9,50,60.488691
3.9,50,60.507103
3.9,50,60.526445
8.4,86,60.561761
3.9,50,60.581784
8.9,91,60.617666
1.5,50,60.636286
2.0,31,60.648662
3.9,50,60.66701
-0.9,50,60.686559
2.0,31,60.698462
4.0,51,60.71823
3.9,50,60.73901
3.9,50,60.757696
3.9,50,60.777193
3.9,50,60.795941
3.9,50,60.815308
3.9,50,60.833848
2.0,31,60.845922
8.8,90,60.881035
3.9,50,60.899868
3.9,50,60.919446
8.4,86,60.951378
9.2,94,60.987679
-2.1,50,61.006522
3.9,50,61.02593
-0.9,50,61.04467
3.9,50,61.0643
2.1,50,61.08285
3.9,50,61.10202
3.9,50,61.120873
3.9,50,61.140231
12.9,122,61.186129
3.9,50,61.205285
8.4,86,61.23841
4.1,52,61.259104
3.9,50,61.278448
3.9,50,61.29695
2.0,31,61.309005
3.9,50,61.327322
-3.9,50,61.346407
4.7,58,61.367293
6.2,64,61.390795
3.9,50,61.409393
-6.3,50,61.427649
3.9,50,61.44681
3.9,50,61.464876
3.9,50,61.484106
3.9,50,61.502502
4.1,52,61.521938
5.0,61,61.545148
0.3,50,61.563174
10.7,100,61.600437
-8.1,50,61.619955
3.9,50,61.638152
4.5,56,61.659155
3.9,50,61.678344
3.9,50,61.69663
4.6,57,61.717834
6.2,64,61.741961
3.9,50,61.761284
8.4,86,61.793327
8.4,86,61.826567
8.4,86,61.858488
3.9,50,61.877971
2.0,31,61.889874
3.9,50,61.908199
-5.7,50,61.927475
2.0,31,61.938611
2.0,31,61.950463
3.9,50,61.969648
3.9,50,61.988558
3.9,50,62.007444
2.0,31,62.018515
-2.1,50,62.037356
3.9,50,62.055526
3.9,50,62.074881
3.9,50,62.093033
-0.9,50,62.112502
3.9,50,62.130845
3.9,50,62.150086
8.6,88,62.182963
9.4,96,62.219341
3.9,50,62.237469
3.9,50,62.256633
3.9,50,62.275136
3.9,50,62.29445
0.3,50,62.312647
-0.9,50,62.332033
-4.5,50,62.35023
3.9,50,62.374382
3.9,50,62.393681
-5.7,50,62.413964
3.9,50,62.433573
3.9,50,62.45269
3.9,50,62.470995
9.2,94,62.507521
3.9,50,62.525706
3.9,50,62.544857
3.9,50,62.564121
8.4,86,62.600684
3.9,50,62.621054
4.5,56,62.642826
3.9,50,62.662588
3.9,50,62.681128
13.7,130,62.731701
3.9,50,62.750467
3.9,50,62.774609
8.4,86,62.807369
8.4,86,62.840397
18.3,167,62.908152
-4.5,50,62.9267
3.9,50,62.946202
6.0,62,62.969436
-5.7,50,62.989312
2.1,50,63.008567
-5.7,50,63.027777
3.9,50,63.046279
26.9,235,63.13583
6.1,63,63.160366
8.7,89,63.193881
3.9,50,63.214144
3.9,50,63.234071
-5.7,50,63.252688
3.9,50,63.272272
4.1,52,63.292045
3.9,50,63.311025
-8.7,50,63.33064
3.9,50,63.349363
13.1,124,63.397131
11.1,104,63.437506
8.4,86,63.471189
4.4,55,63.493007
4.0,51,63.512188
4.4,55,63.534299
9.3,95,63.57135
3.9,50,63.590179
3.9,50,63.609874
-1.5,50,63.629311
4.0,51,63.650026
3.9,50,63.669698
3.9,50,63.688257
3.9,50,63.70779
8.5,87,63.74064
8.5,87,63.77467
3.9,50,63.794549
3.9,50,63.813319
6.3,65,63.838523
12.9,122,63.886565
18.4,168,63.951797
4.0,51,63.971457
4.4,55,63.99152
12.9,122,64.038211
1.5,50,64.056694
15.0,134,64.109722
3.9,50,64.128719
3.9,50,64.148203
3.9,50,64.167187
8.4,86,64.200853
3.9,50,64.219841
3.9,50,64.239252
6.1,63,64.263986
8.4,86,64.297141
4.6,57,64.321172
3.9,50,64.341615
8.4,86,64.374229
3.9,50,64.394265
8.4,86,64.427126
12.9,122,64.474765
13.8,131,64.525996
12.9,122,64.572397
3.9,50,64.592112
3.9,50,64.611312
12.9,122,64.658943
3.9,50,64.678135
3.9,50,64.700117
2.0,31,64.712425
3.9,50,64.733287
3.9,50,64.752432
3.9,50,64.771961
4.1,52,64.793983
-8.1,50,64.815376
9.2,94,64.852451
4.7,58,64.874129
8.4,86,64.908693
4.2,53,64.928372
18.4,168,64.991175
3.9,50,65.010436
8.5,87,65.042552
6.1,63,65.066446
3.9,50,65.086592
3.9,50,65.104935
3.9,50,65.124114
4.1,52,65.143784
8.4,86,65.175486
4.9,60,65.197912
8.4,86,65.230663
6.1,63,65.253485
4.1,52,65.272952
3.9,50,65.2921
3.9,50,65.310306
3.9,50,65.329894
8.4,86,65.361814
8.4,86,65.394422
4.4,55,65.41546
3.9,50,65.433906
3.9,50,65.454524
3.9,50,65.473458
11.1,104,65.513512
3.9,50,65.532988
3.9,50,65.551683
4.7,58,65.574328
4.8,59,65.595908
-0.9,50,65.615356
13.0,123,65.66548
3.9,50,65.689204
3.9,50,65.710338
3.9,50,65.729581
34.1,289,65.843304
18.9,173,65.9102
3.9,50,65.92849
4.7,58,65.950845
-2.1,50,65.968963
13.0,123,66.015474
12.9,122,66.060947
6.5,67,66.086437
3.9,50,66.105251
3.9,50,66.123875
13.3,126,66.171413
3.9,50,66.189664
3.9,50,66.209443
3.9,50,66.229494
3.9,50,66.250329
3.9,50,66.269691
8.9,91,66.304803
3.9,50,66.323411
