²¨³¤(nm),0min
398.111559,1.251657
398.380941,1.268021
398.65031,1.284815
398.919665,1.299666
399.189008,1.314985
399.458338,1.330546
399.727655,1.348518
399.996958,1.362383
400.266249,1.376867
400.535526,1.391602
400.804791,1.405172
401.074042,1.417461
401.34328,1.430439
401.612506,1.445914
401.881717,1.461784
402.150916,1.47782
402.420102,1.490044
402.689274,1.505389
402.958434,1.517414
403.22758,1.529495
403.496713,1.543092
403.765832,1.556744
404.034939,1.569984
404.304032,1.585136
404.573112,1.600267
404.842178,1.612427
405.111231,1.625261
405.380271,1.637805
405.649298,1.653816
405.918311,1.671457
406.187311,1.686178
406.456298,1.696804
406.725271,1.707681
406.99423,1.720125
407.263177,1.734542
407.53211,1.748574
407.801029,1.764542
408.069935,1.777699
408.338827,1.791882
408.607706,1.80699
408.876572,1.824206
409.145424,1.839296
409.414262,1.852699
409.683087,1.864818
409.951899,1.879311
410.220697,1.896366
410.489481,1.912578
410.758251,1.926652
411.027008,1.940788
411.295752,1.95528
411.564482,1.969825
411.833198,1.986551
412.1019,2.004446
412.370589,2.01809
412.639264,2.033488
412.907925,2.046669
413.176573,2.059952
413.445207,2.071547
413.713827,2.082981
413.982433,2.095372
414.251026,2.108654
414.519605,2.120942
414.78817,2.132048
415.056721,2.143975
415.325258,2.16208
415.593782,2.175168
415.862291,2.189697
416.130787,2.202367
416.399269,2.215747
416.667737,2.22832
416.936191,2.242493
417.204631,2.258457
417.473058,2.271279
417.74147,2.285782
418.009868,2.301775
418.278252,2.318426
418.546623,2.335534
418.814979,2.354139
419.083321,2.37115
419.351649,2.387655
419.619963,2.404888
419.888264,2.419751
420.15655,2.43173
420.424821,2.442973
420.693079,2.458394
420.961323,2.474582
421.229552,2.490334
421.497768,2.505986
421.765969,2.522731
422.034156,2.538746
422.302329,2.554479
422.570488,2.569029
422.838632,2.585713
423.106762,2.599495
423.374878,2.614097
423.64298,2.63062
423.911067,2.642253
424.17914,2.656791
424.447199,2.672136
424.715244,2.687065
424.983274,2.704548
425.25129,2.719969
425.519291,2.732944
425.787278,2.74407
426.055251,2.757887
426.323209,2.77022
426.591153,2.784132
426.859082,2.795566
427.126997,2.811669
427.394898,2.826055
427.662784,2.841268
427.930655,2.854613
428.198512,2.867454
428.466355,2.883959
428.734183,2.901787
429.001997,2.924695
429.269796,2.94633
429.53758,2.966275
429.80535,2.985095
430.073105,3.003467
430.340845,3.0203
430.608571,3.042222
430.876283,3.065238
431.143979,3.085884
431.411661,3.105749
431.679329,3.121337
431.946981,3.1348
432.214619,3.151822
432.482243,3.165319
432.749851,3.182016
433.017445,3.200575
433.285024,3.217785
433.552588,3.232769
433.820137,3.248857
434.087672,3.267387
434.355192,3.283552
434.622697,3.298573
434.890187,3.317518
435.157662,3.334701
435.425122,3.347051
435.692568,3.359119
435.959998,3.3777
436.227414,3.395023
436.494815,3.414721
436.7622,3.429555
437.029571,3.445247
437.296927,3.459757
437.564268,3.468911
437.831594,3.482648
438.098905,3.498985
438.366201,3.516115
438.633481,3.533551
438.900747,3.556784
439.167998,3.577591
439.435233,3.598629
439.702454,3.618449
439.969659,3.638059
440.236849,3.658653
440.504025,3.678097
440.771185,3.694938
441.038329,3.713719
441.305459,3.735192
441.572573,3.761287
441.839673,3.779386
442.106757,3.7925
442.373825,3.804454
442.640879,3.817657
442.907917,3.837206
443.17494,3.859451
443.441948,3.881168
443.70894,3.902855
443.975917,3.920421
444.242879,3.939745
444.509825,3.963362
444.776757,3.985659
445.043672,4.003798
445.310572,4.022202
445.577457,4.042479
445.844327,4.059677
446.111181,4.074379
446.378019,4.089272
446.644843,4.107471
446.91165,4.129988
447.178442,4.14656
447.445219,4.1648
447.71198,4.185393
447.978726,4.204176
448.245456,4.220954
448.51217,4.238571
448.778869,4.256785
449.045553,4.27136
449.312221,4.2868
449.578873,4.304527
449.845509,4.32743
450.11213,4.350227
450.378736,4.372762
450.645325,4.397207
