²¨³¤(nm),264min
398.111559,1.293645
398.380941,1.309488
398.65031,1.328765
398.919665,1.345294
399.189008,1.359013
399.458338,1.374507
399.727655,1.3932
399.996958,1.408404
400.266249,1.423467
400.535526,1.437311
400.804791,1.451409
401.074042,1.464183
401.34328,1.477667
401.612506,1.493706
401.881717,1.510131
402.150916,1.526017
402.420102,1.538724
402.689274,1.553882
402.958434,1.565575
403.22758,1.578072
403.496713,1.592112
403.765832,1.606918
404.034939,1.621268
404.304032,1.63684
404.573112,1.651735
404.842178,1.664963
405.111231,1.678143
405.380271,1.690359
405.649298,1.706823
405.918311,1.72497
406.187311,1.740762
406.456298,1.752994
406.725271,1.764776
406.99423,1.778817
407.263177,1.794244
407.53211,1.808628
407.801029,1.825585
408.069935,1.838345
408.338827,1.85224
408.607706,1.868976
408.876572,1.885948
409.145424,1.90135
409.414262,1.914435
409.683087,1.929312
409.951899,1.943525
410.220697,1.962199
410.489481,1.978131
410.758251,1.99186
411.027008,2.007505
411.295752,2.022271
411.564482,2.037709
411.833198,2.054193
412.1019,2.071911
412.370589,2.084653
412.639264,2.100958
412.907925,2.115592
413.176573,2.130323
413.445207,2.14276
413.713827,2.155562
413.982433,2.169326
414.251026,2.182903
414.519605,2.195431
414.78817,2.206132
415.056721,2.217692
415.325258,2.234505
415.593782,2.248997
415.862291,2.262185
416.130787,2.275742
416.399269,2.291712
416.667737,2.305139
416.936191,2.320771
417.204631,2.337701
417.473058,2.351416
417.74147,2.36685
418.009868,2.383825
418.278252,2.39988
418.546623,2.418009
418.814979,2.436616
419.083321,2.454118
419.351649,2.470609
419.619963,2.488906
419.888264,2.503679
420.15655,2.517703
420.424821,2.52931
420.693079,2.545243
420.961323,2.562534
421.229552,2.578304
421.497768,2.596125
421.765969,2.613953
422.034156,2.630541
422.302329,2.646835
422.570488,2.660276
422.838632,2.676506
423.106762,2.691383
423.374878,2.706584
423.64298,2.722063
423.911067,2.734247
424.17914,2.7494
424.447199,2.767063
424.715244,2.783188
424.983274,2.800318
425.25129,2.815916
425.519291,2.830098
425.787278,2.84123
426.055251,2.855166
426.323209,2.867054
426.591153,2.880535
426.859082,2.894266
427.126997,2.909558
427.394898,2.924193
427.662784,2.937422
427.930655,2.950954
428.198512,2.965157
428.466355,2.982556
428.734183,3.002508
429.001997,3.027733
429.269796,3.051129
429.53758,3.070395
429.80535,3.08795
430.073105,3.105641
430.340845,3.123548
430.608571,3.146703
430.876283,3.170936
431.143979,3.192172
431.411661,3.213212
431.679329,3.229874
431.946981,3.246159
432.214619,3.264946
432.482243,3.278301
432.749851,3.297329
433.017445,3.315862
433.285024,3.332969
433.552588,3.347808
433.820137,3.363719
434.087672,3.38151
434.355192,3.397507
434.622697,3.411067
434.890187,3.431785
435.157662,3.450734
435.425122,3.464713
435.692568,3.479019
435.959998,3.494809
436.227414,3.510617
436.494815,3.530214
436.7622,3.546018
437.029571,3.560756
437.296927,3.578836
437.564268,3.5894
437.831594,3.602784
438.098905,3.619393
438.366201,3.636843
438.633481,3.654631
438.900747,3.677709
439.167998,3.700319
439.435233,3.723131
439.702454,3.743429
439.969659,3.764084
440.236849,3.784399
440.504025,3.80354
440.771185,3.81929
441.038329,3.839014
441.305459,3.860869
441.572573,3.888178
441.839673,3.909288
442.106757,3.923887
442.373825,3.935877
442.640879,3.950546
442.907917,3.967547
443.17494,3.988714
443.441948,4.0107
443.70894,4.031988
443.975917,4.049771
444.242879,4.072127
444.509825,4.096811
444.776757,4.120131
445.043672,4.139131
445.310572,4.159796
445.577457,4.180291
445.844327,4.200411
446.111181,4.215788
446.378019,4.234222
446.644843,4.252522
446.91165,4.273197
447.178442,4.290508
447.445219,4.307426
447.71198,4.328172
447.978726,4.348447
448.245456,4.366649
448.51217,4.385792
448.778869,4.40478
449.045553,4.421404
449.312221,4.438948
449.578873,4.458786
449.845509,4.479726
450.11213,4.504187
450.378736,4.528279
450.645325,4.552992
450.911899,4.581087
451.178457,4.602548
451.445,4.627512
451.711527,4.652238
451.978038,4.681879
452.244533,4.704033
452.511013,4.724887
452.777477,4.747028
453.043925,4.769544
453.310357,4.790086
453.576773,4.813287
453.843174,4.837506
454.109558,4.862199
454.375927,4.88381
454.64228,4.901949
454.908617,4.922148
455.174939,4.944851
455.441244,4.964804
455.707533,4.989398
455.973807,5.011819
456.240064,5.031617
456.506305,5.051546
456.772531,5.077415
457.03874,5.101653
457.304934,5.126569
457.571111,5.141248
457.837273,5.161857
458.103418,5.187855
458.369547,5.212495
458.635661,5.235157
458.901758,5.261332
459.167839,5.288226
459.433904,5.314451
459.699952,5.342962
459.965985,5.367481
460.232001,5.39394
460.498002,5.414285
460.763986,5.444552
461.029954,5.476565
461.295905,5.504043
461.561841,5.53092
461.82776,5.554883
462.093663,5.580506
462.359549,5.608111
462.62542,5.631369
462.891274,5.655303
463.157111,5.683271
463.422933,5.710386
463.688738,5.730574
463.954526,5.754376
464.220299,5.778172
464.486055,5.800521
464.751794,5.828496
465.017517,5.854995
465.283224,5.87948
465.548914,5.904226
465.814588,5.926385
466.080245,5.95249
466.345886,5.974565
466.61151,5.997345
466.877118,6.026502
467.142709,6.049092
467.408284,6.074291
467.673842,6.104404
467.939384,6.130586
468.204909,6.16042
468.470417,6.191696
468.735909,6.223756
469.001384,6.256231
469.266843,6.284334
469.532285,6.31315
469.79771,6.339151
470.063119,6.366688
470.328511,6.398555
470.593886,6.428066
470.859244,6.460688
471.124586,6.493634
471.389911,6.515511
471.655219,6.54081
471.920511,6.575644
472.185785,6.604921
472.451043,6.6268
472.716284,6.651224
472.981508,6.673543
473.246716,6.694553
473.511906,6.716653
473.77708,6.737963
474.042237,6.763658
474.307376,6.78803
474.572499,6.815675
474.837605,6.843597
475.102694,6.866123
475.367766,6.893606
475.632822,6.919121
475.89786,6.941186
476.162881,6.9701
476.427885,6.994825
476.692872,7.019149
476.957842,7.045389
477.222795,7.072827
477.487731,7.096326
477.75265,7.117999
478.017552,7.147624
478.282437,7.177145
478.547304,7.211211
478.812154,7.240986
479.076988,7.271894
479.341804,7.306688
479.606603,7.337191
479.871384,7.362588
480.136149,7.387467
480.400896,7.417509
480.665626,7.444433
480.930339,7.47067
481.195035,7.500987
481.459713,7.534607
481.724374,7.567415
481.989018,7.599138
482.253644,7.634398
482.518253,7.659902
482.782845,7.686888
483.047419,7.715949
483.311976,7.743743
483.576516,7.771388
483.841038,7.792917
484.105543,7.817219
484.37003,7.84908
484.6345,7.880562
484.898952,7.911783
485.163387,7.942711
485.427805,7.983364
485.692205,8.017607
485.956587,8.049925
486.220952,8.07977
486.4853,8.109759
486.749629,8.138075
487.013942,8.164991
487.278236,8.189145
487.542514,8.220823
487.806773,8.24862
488.071015,8.276446
488.335239,8.307645
488.599446,8.342616
488.863635,8.375695
489.127806,8.407305
489.39196,8.438127
489.656095,8.467373
489.920214,8.498511
490.184314,8.528735
490.448397,8.559561
490.712462,8.585197
490.976509,8.611848
491.240538,8.641874
491.50455,8.676429
491.768543,8.713641
492.032519,8.742683
492.296477,8.774128
492.560417,8.808463
492.82434,8.838626
493.088244,8.874726
493.352131,8.908909
493.615999,8.936907
493.87985,8.970729
494.143683,8.996682
494.407497,9.025588
494.671294,9.051947
494.935073,9.08297
495.198834,9.120282
495.462577,9.154736
495.726302,9.189061
495.990008,9.219167
496.253697,9.250844
496.517368,9.285262
496.78102,9.310583
497.044655,9.33971
497.308271,9.370156
497.571869,9.400329
497.835449,9.425814
498.099011,9.457379
498.362555,9.491384
498.626081,9.521117
498.889588,9.557848
499.153077,9.596112
499.416548,9.634378
499.680001,9.667382
499.943436,9.698846
500.206852,9.73421
500.47025,9.771196
500.73363,9.799624
500.996991,9.829584
501.260334,9.860228
501.523659,9.889739
501.786965,9.915308
502.050253,9.947319
502.313523,9.979624
502.576774,10.008545
502.840007,10.042722
503.103222,10.075882
503.366418,10.108242
503.629595,10.145118
503.892754,10.172559
504.155895,10.212333
504.419017,10.251685
504.682121,10.283715
504.945206,10.306618
505.208273,10.340677
505.471321,10.370655
505.73435,10.400689
505.997361,10.43317
506.260354,10.468246
506.523328,10.502584
506.786283,10.534546
507.04922,10.574286
507.312138,10.60936
507.575037,10.642837
507.837918,10.680125
508.100779,10.716943
508.363623,10.757188
508.626447,10.792063
508.889253,10.82467
509.15204,10.859634
509.414809,10.894657
509.677558,10.931759
509.940289,10.971749
510.203001,11.01631
510.465694,11.055807
510.728369,11.090876
510.991025,11.124049
511.253661,11.161665
511.516279,11.194435
511.778878,11.224185
512.041458,11.2507
512.30402,11.274748
512.566562,11.305863
512.829085,11.338414
513.09159,11.362972
513.354075,11.395402
513.616542,11.424069
513.878989,11.455962
514.141418,11.491494
514.403828,11.525344
514.666218,11.552944
514.92859,11.584404
