²¨³¤(nm),182min
398.111559,1.276271
398.380941,1.292756
398.65031,1.311185
398.919665,1.326159
399.189008,1.341402
399.458338,1.358388
399.727655,1.376353
399.996958,1.393064
400.266249,1.405992
400.535526,1.422075
400.804791,1.435515
401.074042,1.44837
401.34328,1.461209
401.612506,1.478727
401.881717,1.495911
402.150916,1.513259
402.420102,1.527436
402.689274,1.542637
402.958434,1.555105
403.22758,1.567663
403.496713,1.583137
403.765832,1.597983
404.034939,1.611695
404.304032,1.626635
404.573112,1.642254
404.842178,1.656207
405.111231,1.669441
405.380271,1.682376
405.649298,1.697547
405.918311,1.717042
406.187311,1.732213
406.456298,1.7445
406.725271,1.755693
406.99423,1.769143
407.263177,1.782689
407.53211,1.796489
407.801029,1.812232
408.069935,1.824447
408.338827,1.839036
408.607706,1.855827
408.876572,1.872851
409.145424,1.887698
409.414262,1.90147
409.683087,1.916413
409.951899,1.931294
410.220697,1.950008
410.489481,1.965384
410.758251,1.977369
411.027008,1.992479
411.295752,2.007318
411.564482,2.022822
411.833198,2.03936
412.1019,2.0583
412.370589,2.071693
412.639264,2.087464
412.907925,2.101574
413.176573,2.116947
413.445207,2.130601
413.713827,2.141737
413.982433,2.155567
414.251026,2.169195
414.519605,2.180647
414.78817,2.190863
415.056721,2.201935
415.325258,2.218785
415.593782,2.232218
415.862291,2.246573
416.130787,2.261845
416.399269,2.277295
416.667737,2.291323
416.936191,2.305887
417.204631,2.320642
417.473058,2.334401
417.74147,2.348226
418.009868,2.365774
418.278252,2.38348
418.546623,2.400531
418.814979,2.419137
419.083321,2.43556
419.351649,2.454782
419.619963,2.471993
419.888264,2.48733
420.15655,2.501379
420.424821,2.514649
420.693079,2.530588
420.961323,2.548961
421.229552,2.566901
421.497768,2.58255
421.765969,2.599835
422.034156,2.616962
422.302329,2.63271
422.570488,2.64724
422.838632,2.664545
423.106762,2.679965
423.374878,2.696247
423.64298,2.711177
423.911067,2.724449
424.17914,2.741229
424.447199,2.75888
424.715244,2.774449
424.983274,2.791014
425.25129,2.807692
425.519291,2.820767
425.787278,2.832447
426.055251,2.845823
426.323209,2.860452
426.591153,2.873374
426.859082,2.88434
427.126997,2.901262
427.394898,2.916431
427.662784,2.931308
427.930655,2.944829
428.198512,2.959016
428.466355,2.975833
428.734183,2.99463
429.001997,3.018109
429.269796,3.043156
429.53758,3.060098
429.80535,3.077607
430.073105,3.095251
430.340845,3.114847
430.608571,3.137948
430.876283,3.162128
431.143979,3.185086
431.411661,3.205494
431.679329,3.220332
431.946981,3.234185
432.214619,3.252309
432.482243,3.269238
432.749851,3.285797
433.017445,3.303662
433.285024,3.320102
433.552588,3.335504
433.820137,3.351986
434.087672,3.370345
434.355192,3.385676
434.622697,3.400443
434.890187,3.419856
435.157662,3.440014
435.425122,3.454592
435.692568,3.468869
435.959998,3.485262
436.227414,3.502315
436.494815,3.521231
436.7622,3.536367
437.029571,3.552367
437.296927,3.569775
437.564268,3.580979
437.831594,3.594342
438.098905,3.610281
438.366201,3.627054
438.633481,3.646777
438.900747,3.67048
439.167998,3.693061
439.435233,3.714522
439.702454,3.736117
439.969659,3.759416
440.236849,3.781054
440.504025,3.800186
440.771185,3.817274
441.038329,3.834299
441.305459,3.855464
441.572573,3.882071
441.839673,3.901126
442.106757,3.915037
442.373825,3.927025
442.640879,3.940324
442.907917,3.956628
443.17494,3.976404
443.441948,3.996993
443.70894,4.018251
443.975917,4.037387
444.242879,4.057648
444.509825,4.080907
444.776757,4.105575
445.043672,4.123863
445.310572,4.145203
445.577457,4.164283
445.844327,4.18369
446.111181,4.198373
446.378019,4.21471
446.644843,4.234391
446.91165,4.255034
447.178442,4.27234
447.445219,4.289947
447.71198,4.310675
447.978726,4.329538
448.245456,4.349137
448.51217,4.368967
448.778869,4.38935
449.045553,4.405278
449.312221,4.422121
449.578873,4.439153
449.845509,4.46218
450.11213,4.486611
450.378736,4.507168
450.645325,4.532549
450.911899,4.559198
451.178457,4.579232
451.445,4.602747
451.711527,4.628144
451.978038,4.657025
452.244533,4.67987
452.511013,4.70214
452.777477,4.722145
453.043925,4.746069
453.310357,4.767323
453.576773,4.791939
453.843174,4.81329
454.109558,4.83797
454.375927,4.860299
454.64228,4.880587
454.908617,4.901508
455.174939,4.924912
455.441244,4.944162
455.707533,4.968043
455.973807,4.990468
456.240064,5.011704
456.506305,5.029521
456.772531,5.058231
457.03874,5.081763
457.304934,5.10456
457.571111,5.1214
457.837273,5.139199
458.103418,5.163785
458.369547,5.190561
458.635661,5.213237
458.901758,5.239425
459.167839,5.268436
459.433904,5.29538
459.699952,5.323893
459.965985,5.349832
460.232001,5.376306
460.498002,5.396676
460.763986,5.425545
461.029954,5.455448
461.295905,5.482941
461.561841,5.509842
461.82776,5.533837
462.093663,5.562286
462.359549,5.589205
462.62542,5.611796
462.891274,5.636458
463.157111,5.663755
463.422933,5.692985
463.688738,5.715298
463.954526,5.737049
464.220299,5.762267
464.486055,5.782584
464.751794,5.809212
465.017517,5.837115
465.283224,5.860261
465.548914,5.882993
465.814588,5.905888
466.080245,5.932038
466.345886,5.955527
466.61151,5.980392
466.877118,6.008896
467.142709,6.031537
467.408284,6.057451
467.673842,6.086248
467.939384,6.111801
468.204909,6.142336
468.470417,6.178318
468.735909,6.210396
469.001384,6.242226
469.266843,6.268365
469.532285,6.297217
469.79771,6.32127
470.063119,6.348848
470.328511,6.37877
470.593886,6.408324
470.859244,6.442295
471.124586,6.473964
471.389911,6.493941
471.655219,6.518003
471.920511,6.550921
