²¨³¤(nm),121min
398.111559,1.261068
398.380941,1.276751
398.65031,1.293605
398.919665,1.310705
399.189008,1.325258
399.458338,1.340804
399.727655,1.360238
399.996958,1.375532
400.266249,1.390701
400.535526,1.405387
400.804791,1.419621
401.074042,1.432556
401.34328,1.445466
401.612506,1.461607
401.881717,1.478848
402.150916,1.49554
402.420102,1.509798
402.689274,1.526473
402.958434,1.537655
403.22758,1.551702
403.496713,1.565876
403.765832,1.581487
404.034939,1.596651
404.304032,1.612349
404.573112,1.626678
404.842178,1.640716
405.111231,1.654045
405.380271,1.665745
405.649298,1.682307
405.918311,1.699204
406.187311,1.715114
406.456298,1.727512
406.725271,1.738175
406.99423,1.751729
407.263177,1.76664
407.53211,1.779879
407.801029,1.795063
408.069935,1.805495
408.338827,1.819546
408.607706,1.836417
408.876572,1.852894
409.145424,1.86722
409.414262,1.881097
409.683087,1.895529
409.951899,1.910501
410.220697,1.928673
410.489481,1.943533
410.758251,1.958049
411.027008,1.973846
411.295752,1.988177
411.564482,2.004362
411.833198,2.020966
412.1019,2.038178
412.370589,2.051666
412.639264,2.067516
412.907925,2.081715
413.176573,2.096592
413.445207,2.110916
413.713827,2.122152
413.982433,2.134355
414.251026,2.148063
414.519605,2.160746
414.78817,2.171069
415.056721,2.183365
415.325258,2.199696
415.593782,2.212642
415.862291,2.227057
416.130787,2.240722
416.399269,2.25567
416.667737,2.268664
416.936191,2.283286
417.204631,2.29863
417.473058,2.312994
417.74147,2.328507
418.009868,2.346082
418.278252,2.362706
418.546623,2.379776
418.814979,2.397835
419.083321,2.415363
419.351649,2.434589
419.619963,2.452898
419.888264,2.46771
420.15655,2.480702
420.424821,2.493472
420.693079,2.508875
420.961323,2.526702
421.229552,2.544094
421.497768,2.561372
421.765969,2.577573
422.034156,2.593605
422.302329,2.610436
422.570488,2.624972
422.838632,2.641167
423.106762,2.654954
423.374878,2.670677
423.64298,2.685595
423.911067,2.699409
424.17914,2.71508
424.447199,2.733239
424.715244,2.747688
424.983274,2.764199
425.25129,2.780279
425.519291,2.794969
425.787278,2.806098
426.055251,2.819442
426.323209,2.832392
426.591153,2.845279
426.859082,2.856771
427.126997,2.871951
427.394898,2.888708
427.662784,2.904629
427.930655,2.918098
428.198512,2.932776
428.466355,2.951744
428.734183,2.972123
429.001997,2.996029
429.269796,3.019804
429.53758,3.037786
429.80535,3.055772
430.073105,3.073892
430.340845,3.093966
430.608571,3.116351
430.876283,3.139814
431.143979,3.159695
431.411661,3.181151
431.679329,3.197671
431.946981,3.212632
432.214619,3.231851
432.482243,3.246884
432.749851,3.263342
433.017445,3.280483
433.285024,3.296821
433.552588,3.310282
433.820137,3.325432
434.087672,3.341815
434.355192,3.357031
434.622697,3.371694
434.890187,3.390347
435.157662,3.408483
435.425122,3.422962
435.692568,3.436515
435.959998,3.452803
436.227414,3.469744
436.494815,3.489791
436.7622,3.506768
437.029571,3.521393
437.296927,3.538711
437.564268,3.548589
437.831594,3.562522
438.098905,3.57904
438.366201,3.597688
438.633481,3.616671
438.900747,3.639591
439.167998,3.662709
439.435233,3.685383
439.702454,3.705536
439.969659,3.728077
440.236849,3.748949
440.504025,3.77067
440.771185,3.78837
441.038329,3.807354
441.305459,3.827761
441.572573,3.853572
441.839673,3.872562
442.106757,3.887126
442.373825,3.898425
442.640879,3.911702
442.907917,3.928649
443.17494,3.951098
443.441948,3.97095
443.70894,3.990775
443.975917,4.009177
444.242879,4.030069
444.509825,4.05325
444.776757,4.077156
445.043672,4.094714
445.310572,4.116711
445.577457,4.13505
445.844327,4.154429
446.111181,4.16842
446.378019,4.184047
446.644843,4.201615
446.91165,4.224995
447.178442,4.24369
447.445219,4.26338
447.71198,4.284779
447.978726,4.302925
448.245456,4.321119
448.51217,4.340925
448.778869,4.358488
449.045553,4.374428
449.312221,4.392673
