²¨³¤(nm),60min
398.111559,1.258173
398.380941,1.273841
398.65031,1.292872
398.919665,1.309233
399.189008,1.323057
399.458338,1.339339
399.727655,1.358041
399.996958,1.37334
400.266249,1.389245
400.535526,1.403936
400.804791,1.417454
401.074042,1.429681
401.34328,1.442604
401.612506,1.459467
401.881717,1.476715
402.150916,1.491996
402.420102,1.504154
402.689274,1.519445
402.958434,1.530676
403.22758,1.54268
403.496713,1.556901
403.765832,1.572552
404.034939,1.585711
404.304032,1.601464
404.573112,1.61652
404.842178,1.629939
405.111231,1.642665
405.380271,1.655101
405.649298,1.670381
405.918311,1.687313
406.187311,1.702619
406.456298,1.715098
406.725271,1.725199
406.99423,1.739474
407.263177,1.754443
407.53211,1.769018
407.801029,1.786161
408.069935,1.798546
408.338827,1.813258
408.607706,1.82953
408.876572,1.846034
409.145424,1.861015
409.414262,1.874306
409.683087,1.888773
409.951899,1.901939
410.220697,1.920139
410.489481,1.93625
410.758251,1.9502
411.027008,1.966033
411.295752,1.980402
411.564482,1.99543
411.833198,2.011472
412.1019,2.028118
412.370589,2.04283
412.639264,2.058129
412.907925,2.072369
413.176573,2.087286
413.445207,2.100495
413.713827,2.111207
413.982433,2.124609
414.251026,2.137782
414.519605,2.149373
414.78817,2.159759
415.056721,2.171548
415.325258,2.189029
415.593782,2.202574
415.862291,2.215905
416.130787,2.23016
416.399269,2.245135
416.667737,2.255953
416.936191,2.271158
417.204631,2.287073
417.473058,2.301468
417.74147,2.316456
418.009868,2.332954
418.278252,2.349586
418.546623,2.366667
418.814979,2.38418
419.083321,2.400626
419.351649,2.418763
419.619963,2.43544
419.888264,2.450816
420.15655,2.465467
420.424821,2.478268
420.693079,2.493676
420.961323,2.509329
421.229552,2.526174
421.497768,2.543453
421.765969,2.559654
422.034156,2.575681
422.302329,2.590878
422.570488,2.605419
422.838632,2.621595
423.106762,2.63538
423.374878,2.651092
423.64298,2.664912
423.911067,2.676547
424.17914,2.691656
424.447199,2.708689
424.715244,2.723111
424.983274,2.739572
425.25129,2.7578
425.519291,2.771366
425.787278,2.780848
426.055251,2.793611
426.323209,2.805983
426.591153,2.82049
426.859082,2.832509
427.126997,2.848723
427.394898,2.862649
427.662784,2.877951
427.930655,2.892481
428.198512,2.905977
428.466355,2.923734
428.734183,2.942863
429.001997,2.96659
429.269796,2.990187
429.53758,3.00861
429.80535,3.026467
430.073105,3.043298
430.340845,3.062063
430.608571,3.086583
430.876283,3.108692
431.143979,3.128989
431.411661,3.149684
431.679329,3.166064
431.946981,3.181499
432.214619,3.201765
432.482243,3.217279
432.749851,3.232996
433.017445,3.251813
433.285024,3.26925
433.552588,3.285675
433.820137,3.301348
434.087672,3.317626
434.355192,3.333991
434.622697,3.34982
434.890187,3.369629
435.157662,3.390195
435.425122,3.403984
435.692568,3.418118
435.959998,3.434982
436.227414,3.449946
436.494815,3.469901
436.7622,3.484891
437.029571,3.502034
437.296927,3.517355
437.564268,3.528508
437.831594,3.539144
438.098905,3.554308
438.366201,3.572237
438.633481,3.589837
438.900747,3.611332
439.167998,3.632357
439.435233,3.652271
439.702454,3.674291
439.969659,3.694737
440.236849,3.716175
440.504025,3.735787
440.771185,3.750728
441.038329,3.76963
441.305459,3.790598
441.572573,3.817608
441.839673,3.837876
442.106757,3.851726
442.373825,3.863697
442.640879,3.876265
442.907917,3.893846
443.17494,3.916217
443.441948,3.938738
443.70894,3.959866
443.975917,3.978904
444.242879,4.00111
444.509825,4.025592
444.776757,4.048043
445.043672,4.068341
445.310572,4.087525
445.577457,4.107905
445.844327,4.124471
446.111181,4.139859
446.378019,4.156869
446.644843,4.174418
446.91165,4.196353
447.178442,4.212944
447.445219,4.229121
447.71198,4.249784
447.978726,4.268608
448.245456,4.285396
448.51217,4.305872
448.778869,4.322717
449.045553,4.335865
449.312221,4.352708
449.578873,4.370437
449.845509,4.393402
450.11213,4.41631
450.378736,4.439613
450.645325,4.464878
450.911899,4.492826
451.178457,4.514935
451.445,4.539773
451.711527,4.564366
451.978038,4.592403
452.244533,4.614487
452.511013,4.635322
452.777477,4.654604
453.043925,4.677069
453.310357,4.698324
453.576773,4.722202
453.843174,4.74634
454.109558,4.770272
454.375927,4.790479
454.64228,4.811515
454.908617,4.830338
455.174939,4.855126
455.441244,4.873694
455.707533,4.896857
455.973807,4.918586
456.240064,4.938452
456.506305,4.955631
456.772531,4.981494
457.03874,5.004336
457.304934,5.029305
457.571111,5.045554
457.837273,5.066267
458.103418,5.092282
458.369547,5.116976
458.635661,5.141823
458.901758,5.165222
459.167839,5.192809
459.433904,5.216977
459.699952,5.24479
459.965985,5.270763
460.232001,5.2966
460.498002,5.31779
460.763986,5.344587
461.029954,5.377312
461.295905,5.404161
461.561841,5.429745
461.82776,5.452457
462.093663,5.478189
462.359549,5.507279
462.62542,5.531408
462.891274,5.552707
463.157111,5.579419
463.422933,5.60737
463.688738,5.627808
463.954526,5.651111
464.220299,5.673755
464.486055,5.694969
464.751794,5.723124
465.017517,5.752529
465.283224,5.77721
465.548914,5.802169
465.814588,5.8239
466.080245,5.846817
466.345886,5.869176
466.61151,5.889523
466.877118,5.919515
467.142709,5.941735
467.408284,5.967192
467.673842,5.995469
467.939384,6.018548
468.204909,6.047901
468.470417,6.081991
468.735909,6.113536
469.001384,6.142191
469.266843,6.167895
469.532285,6.193658
469.79771,6.217958
470.063119,6.245776
470.328511,6.275227
470.593886,6.304348
470.859244,6.335875
471.124586,6.365125
471.389911,6.38609
471.655219,6.411792
471.920511,6.444873
472.185785,6.473796
472.451043,6.496127
472.716284,6.518419
472.981508,6.539866
473.246716,6.560701
473.511906,6.582001
473.77708,6.603726
474.042237,6.629781
474.307376,6.655192
474.572499,6.678793
474.837605,6.705139
475.102694,6.729968
475.367766,6.757812
475.632822,6.784321
475.89786,6.806816
476.162881,6.833578
476.427885,6.858666
476.692872,6.883382
476.957842,6.909416
477.222795,6.938381
477.487731,6.961682
477.75265,6.985009
478.017552,7.011879
478.282437,7.0459
478.547304,7.078378
478.812154,7.111423
479.076988,7.141942
479.341804,7.175748
479.606603,7.202934
479.871384,7.226922
480.136149,7.25573
480.400896,7.287272
480.665626,7.314498
480.930339,7.339877
481.195035,7.368694
481.459713,7.400135
481.724374,7.431406
481.989018,7.465695
482.253644,7.499386
482.518253,7.526962
482.782845,7.552514
483.047419,7.582431
483.311976,7.610503
483.576516,7.637861
483.841038,7.660361
484.105543,7.683859
484.37003,7.715956
484.6345,7.748796
484.898952,7.779679
485.163387,7.810822
485.427805,7.851555
485.692205,7.884248
485.956587,7.913904
486.220952,7.943971
486.4853,7.971336
486.749629,7.999319
487.013942,8.029354
487.278236,8.056025
487.542514,8.084482
487.806773,8.11309
488.071015,8.140024
488.335239,8.171361
488.599446,8.204204
488.863635,8.236279
489.127806,8.266863
489.39196,8.295585
489.656095,8.326119
489.920214,8.353459
490.184314,8.383275
490.448397,8.416452
490.712462,8.43958
490.976509,8.468037
491.240538,8.499838
491.50455,8.536081
491.768543,8.571052
492.032519,8.603511
492.296477,8.633357
492.560417,8.664337
492.82434,8.695653
493.088244,8.730621
493.352131,8.763658
493.615999,8.790638
493.87985,8.821682
494.143683,8.849963
494.407497,8.878396
494.671294,8.904878
494.935073,8.935922
495.198834,8.97203
495.462577,9.009175
495.726302,9.042326
495.990008,9.070192
496.253697,9.10179
496.517368,9.135563
496.78102,9.161458
497.044655,9.191115
497.308271,9.224865
497.571869,9.253911
497.835449,9.279443
498.099011,9.312053
498.362555,9.343711
498.626081,9.375594
498.889588,9.412183
499.153077,9.449636
499.416548,9.48773
499.680001,9.520557
499.943436,9.54797
500.206852,9.584782
500.47025,9.62266
500.73363,9.649826
500.996991,9.677385
501.260334,9.707879
501.523659,9.735539
501.786965,9.762704
502.050253,9.790578
502.313523,9.82379
502.576774,9.853683
502.840007,9.884744
503.103222,9.918223
503.366418,9.951436
503.629595,9.985696
503.892754,10.014698
504.155895,10.054654
504.419017,10.089574
504.682121,10.124766
504.945206,10.148028
505.208273,10.183508
505.471321,10.21495
505.73435,10.243596
505.997361,10.272857
506.260354,10.309291
506.523328,10.343853
506.786283,10.37374
507.04922,10.413606
507.312138,10.447111
507.575037,10.484289
507.837918,10.51817
508.100779,10.552195
508.363623,10.590142
508.626447,10.625728
508.889253,10.657953
509.15204,10.693682
509.414809,10.730646
509.677558,10.769103
509.940289,10.810997
510.203001,10.852568
510.465694,10.892153
510.728369,10.926793
510.991025,10.959548
511.253661,10.998483
511.516279,11.032654
511.778878,11.061426
512.041458,11.087565
512.30402,11.117455
512.566562,11.145721
512.829085,11.178445
513.09159,11.202058
513.354075,11.234691
513.616542,11.263557
513.878989,11.293153
514.141418,11.327564
514.403828,11.359019
514.666218,11.386829
514.92859,11.415312
515.190942,11.449345
515.453275,11.48617
515.71559,11.519809
515.977885,11.546017
516.240161,11.579684
516.502418,11.611994
516.764656,11.647739
517.026875,11.680836
517.289074,11.709502
517.551254,11.73927
517.813416,11.761929
518.075558,11.790936
518.33768,11.826426
518.599784,11.868262
518.861868,11.905446
519.123933,11.93914
519.385979,11.972941
519.648005,12.00437
519.910012,12.039374
520.172,12.084646
520.433969,12.121326
520.695918,12.147067
520.957847,12.172474
521.219758,12.209479
521.481649,12.247218
521.743521,12.289787
522.005373,12.334295
522.267206,12.369304
522.529019,12.407153
522.790813,12.441176
523.052587,12.474998
523.314342,12.511419
523.576078,12.551331
523.837794,12.590309
524.09949,12.626901
524.361167,12.657361
524.622824,12.693701
524.884462,12.731255
525.14608,12.774228
525.407679,12.813212
525.669258,12.832469
525.930817,12.851504
526.192357,12.880422
526.453877,12.918622
526.715377,12.953722
526.976858,12.9915
527.238319,13.02875
527.49976,13.064292
527.761182,13.100822
528.022584,13.147827
528.283966,13.189889
528.545328,13.224151
528.806671,13.255141
529.067994,13.292442
529.329297,13.329546
529.59058,13.354452
529.851843,13.392704
530.113087,13.435479
530.37431,13.472562
530.635514,13.512685
530.896698,13.547275
531.157862,13.580661
531.419006,13.619954
531.68013,13.653435
531.941235,13.686802
532.202319,13.725275
532.463383,13.763521
532.724428,13.794937
532.985452,13.833737
533.246456,13.870436
533.507441,13.9037
533.768405,13.943161
534.029349,13.980078
534.290273,14.028241
534.551177,14.056596
534.812061,14.095387
535.072925,14.139273
535.333769,14.176025
535.594592,14.212892
535.855396,14.248128
536.116179,14.283309
536.376942,14.320074
536.637685,14.364887
536.898408,14.401423
537.15911,14.440208
537.419793,14.468039
537.680455,14.501014
537.941096,14.536962
538.201718,14.581921
538.462319,14.621169
538.7229,14.673153
538.983461,14.720724
539.244001,14.768222
539.504521,14.816279
539.76502,14.864827
540.0255,14.915618
540.285958,14.9604
540.546397,15.005798
540.806815,15.051162
541.067212,15.095273
541.327589,15.138196
541.587946,15.177936
541.848282,15.223748
542.108598,15.266217
542.368893,15.316566
542.629168,15.359671
542.889422,15.399194
543.149656,15.435221
543.409869,15.476446
543.670061,15.507439
543.930233,15.545057
544.190385,15.578828
544.450516,15.606865
544.710626,15.644797
544.970715,15.688979
545.230784,15.743195
545.490832,15.801559
545.75086,15.83794
546.010867,15.875119
546.270853,15.914255
546.530818,15.946292
546.790763,15.979139
547.050687,16.013137
547.31059,16.041667
547.570472,16.085881
547.830334,16.128149
548.090175,16.170453
548.349995,16.218893
548.609794,16.264567
548.869572,16.311975
549.12933,16.3699
549.389066,16.41583
549.648782,16.457008
549.908477,16.498404
550.168151,16.539125
550.427804,16.584252
550.687436,16.614008
550.947047,16.648757
551.206637,16.698872
551.466206,16.742096
551.725754,16.789848
551.985281,16.834779
552.244787,16.881674
552.504272,16.922045
552.763736,16.953664
553.023179,16.987164
553.282601,17.020334
553.542002,17.053035
553.801382,17.089878
554.06074,17.134982
554.320078,17.184039
554.579394,17.226767
554.838689,17.271832
555.097963,17.320012
555.357216,17.369911
555.616447,17.402919
555.875657,17.439051
556.134846,17.482218
556.394014,17.527264
556.653161,17.555974
556.912286,17.586451
557.17139,17.62363
557.430473,17.668955
557.689534,17.710415
557.948574,17.754227
558.207593,17.801547
558.46659,17.841614
558.725566,17.878077
558.984521,17.916452
559.243454,17.959182
559.502366,17.989094
559.761257,18.021595
560.020125,18.054923
560.278973,18.096758
560.537799,18.140628
560.796604,18.189458
561.055387,18.244614
561.314148,18.298349
561.572888,18.346016
561.831607,18.389003
562.090303,18.432688
562.348979,18.480201
562.607633,18.525537
562.866265,18.568007
563.124875,18.609592
563.383464,18.645749
563.642032,18.685376
563.900577,18.73027
564.159101,18.787758
564.417604,18.843566
564.676084,18.892761
564.934543,18.943255
565.192981,18.993564
565.451396,19.039033
565.70979,19.08701
565.968162,19.135916
566.226512,19.182442
566.48484,19.231132
566.743147,19.275624
567.001432,19.319177
567.259695,19.356618
567.517936,19.399281
567.776155,19.447677
568.034353,19.499411
568.292528,19.562286
568.550682,19.611352
568.808814,19.651299
569.066923,19.690179
569.325011,19.736699
569.583077,19.777172
569.841121,19.810703
570.099143,19.850709
570.357143,19.896504
570.615121,19.938077
570.873077,19.978988
571.131011,20.017374
571.388923,20.0548
571.646813,20.103793
571.90468,20.148825
572.162526,20.193115
572.420349,20.230004
572.678151,20.272448
572.93593,20.311469
573.193687,20.348207
573.451422,20.392825
573.709135,20.428876
573.966825,20.473056
574.224494,20.519906
574.48214,20.566171
574.739764,20.608495
574.997365,20.651332
575.254945,20.70238
575.512502,20.747508
575.770037,20.790687
576.027549,20.844437
576.28504,20.883631
576.542508,20.924665
576.799953,20.971626
577.057376,21.016785
577.314777,21.063093
577.572156,21.102074
577.829512,21.148252
578.086846,21.194072
578.344157,21.248096
578.601446,21.298274
578.858712,21.352423
579.115956,21.403388
579.373177,21.447352
579.630376,21.495509
579.887552,21.53963
580.144706,21.587745
580.401838,21.633964
580.658946,21.66918
580.916033,21.701944
581.173096,21.745221
581.430137,21.792224
581.687156,21.83948
581.944152,21.896611
582.201125,21.954075
582.458075,22.008847
582.715003,22.055101
582.971908,22.101421
583.228791,22.145162
583.485651,22.191636
583.742488,22.233485
583.999302,22.263645
584.256094,22.294844
584.512863,22.331105
584.769609,22.384128
585.026332,22.416887
585.283032,22.460064
585.53971,22.512673
585.796365,22.578752
586.052997,22.640025
586.309606,22.684294
586.566192,22.71996
586.822756,22.763469
587.079296,22.809288
587.335814,22.850222
587.592309,22.886593
587.84878,22.924777
588.105229,22.971145
588.361655,23.022656
588.618058,23.071791
588.874438,23.132498
589.130794,23.186949
589.387128,23.237458
589.643439,23.298916
589.899727,23.348495
590.155991,23.393457
590.412233,23.437331
590.668452,23.481521
590.924647,23.528331
591.180819,23.574073
591.436968,23.620411
591.693094,23.664371
591.949197,23.718283
592.205277,23.769556
592.461333,23.824591
592.717366,23.873532
592.973376,23.935443
593.229363,23.989243
593.485327,24.043454
593.741267,24.094811
593.997184,24.146869
594.253078,24.190585
594.508948,24.225262
594.764795,24.257081
595.020619,24.28917
595.27642,24.332259
595.532197,24.383825
595.787951,24.42629
596.043681,24.47978
596.299388,24.533508
596.555071,24.574377
596.810732,24.625822
597.066368,24.673906
597.321981,24.718706
597.577571,24.761636
597.833138,24.799565
598.08868,24.841178
598.3442,24.865115
598.599695,24.897002
598.855168,24.952994
599.110616,25.006908
599.366041,25.044895
599.621443,25.100365
599.876821,25.148297
600.132175,25.197416
600.387506,25.243246
600.642813,25.298447
600.898096,25.356587
601.153356,25.416346
601.408592,25.46272
601.663805,25.498486
601.918993,25.539375
602.174158,25.580742
602.4293,25.632214
602.684417,25.673246
602.939511,25.709762
603.194581,25.77161
603.449627,25.824656
603.704649,25.879423
603.959648,25.936156
604.214623,25.993638
604.469574,26.051144
604.724501,26.102308
604.979404,26.14577
605.234283,26.191658
605.489139,26.214097
605.74397,26.235068
605.998778,26.26313
606.253561,26.302417
606.508321,26.336536
606.763057,26.371459
607.017769,26.427157
607.272456,26.463862
607.52712,26.504285
607.78176,26.552687
608.036375,26.615304
608.290967,26.656012
608.545535,26.686072
608.800078,26.722015
609.054598,26.748168
609.309093,26.770686
609.563564,26.802696
609.818011,26.840038
610.072434,26.87046
610.326833,26.916528
610.581207,26.964634
610.835558,27.013081
611.089884,27.058295
611.344186,27.107565
611.598463,27.160849
611.852717,27.214064
612.106946,27.256965
612.361151,27.299954
612.615332,27.348859
612.869488,27.37724
613.12362,27.400367
613.377728,27.436164
613.631811,27.464515
613.88587,27.480867
614.139905,27.513558
614.393915,27.548162
614.647901,27.583889
614.901863,27.619901
615.1558,27.667701
615.409712,27.727072
615.6636,27.776342
615.917464,27.805501
616.171303,27.835633
616.425118,27.870073
616.678908,27.907007
616.932674,27.951194
617.186415,28.002095
617.440132,28.054002
617.693824,28.097848
617.947491,28.133278
618.201134,28.166961
618.454752,28.220701
618.708346,28.263725
618.961915,28.323582
619.215459,28.383875
619.468979,28.408765
619.722474,28.414963
619.975944,28.436867
620.22939,28.469166
620.482811,28.50423
620.736207,28.541953
620.989579,28.594147
621.242925,28.652984
621.496247,28.695718
621.749544,28.738479
622.002817,28.78511
622.256064,28.844512
622.509287,28.878351
622.762485,28.927205
623.015658,28.981153
623.268806,29.025212
623.521929,29.051654
623.775027,29.093577
624.028101,29.146773
624.281149,29.183074
624.534173,29.209597
624.787172,29.228817
625.040145,29.279629
625.293094,29.32555
625.546018,29.361481
625.798916,29.384489
626.05179,29.434133
626.304639,29.469899
626.557462,29.509353
626.810261,29.556174
627.063034,29.613209
627.315782,29.638197
627.568506,29.65769
627.821204,29.688581
628.073877,29.739795
628.326525,29.769525
628.579147,29.782383
628.831745,29.817602
629.084317,29.860698
629.336864,29.883969
629.589386,29.908162
629.841883,29.932633
630.094354,29.988152
630.3468,30.034986
630.599221,30.063729
630.851617,30.094364
631.103987,30.143329
631.356332,30.185321
631.608652,30.221303
631.860946,30.272952
632.113215,30.319771
632.365459,30.362957
632.617677,30.394132
632.86987,30.431586
633.122037,30.468147
633.374179,30.49632
633.626296,30.508012
633.878387,30.544587
634.130453,30.584276
634.382493,30.618029
634.634508,30.650594
634.886497,30.682046
635.13846,30.727422
635.390399,30.784986
635.642311,30.819891
635.894198,30.86329
636.14606,30.91135
636.397895,30.962194
636.649706,30.991232
636.90149,31.022907
637.153249,31.054649
637.404983,31.085078
637.65669,31.114066
637.908372,31.14665
638.160028,31.195272
638.411659,31.239114
638.663264,31.264039
638.914843,31.282644
639.166397,31.316958
639.417924,31.362547
639.669426,31.38663
639.920902,31.406864
640.172353,31.438625
640.423777,31.4806
640.675176,31.496074
640.926549,31.500441
641.177896,31.523146
641.429217,31.556491
641.680512,31.594278
641.931781,31.639258
642.183025,31.674064
642.434242,31.724135
642.685434,31.780588
642.936599,31.807831
643.187739,31.839087
643.438853,31.87992
643.68994,31.92338
643.941002,31.948393
644.192038,31.977858
644.443047,32.002384
644.694031,32.031464
644.944988,32.059578
645.19592,32.077737
645.446825,32.106719
645.697704,32.165964
645.948557,32.211405
646.199384,32.246555
646.450185,32.288573
646.70096,32.328354
646.951708,32.370324
647.202431,32.40409
647.453127,32.451761
647.703797,32.49383
647.95444,32.527621
648.205058,32.556289
648.455649,32.590713
648.706214,32.614756
648.956752,32.639865
649.207265,32.665479
649.457751,32.685287
649.70821,32.713414
649.958644,32.739294
650.209051,32.764553
650.459431,32.800464
650.709785,32.83844
650.960113,32.878836
651.210415,32.932894
651.46069,32.984848
651.710938,33.02435
651.96116,33.067013
652.211356,33.110641
652.461525,33.165139
652.711668,33.201844
652.961784,33.239236
653.211874,33.288244
653.461937,33.327582
653.711973,33.356371
653.961983,33.393936
654.211967,33.425977
654.461924,33.468703
654.711854,33.513807
654.961757,33.548023
655.211634,33.580516
655.461485,33.623598
655.711308,33.672794
655.961105,33.719289
656.210876,33.762428
656.460619,33.808372
656.710336,33.864627
656.960026,33.917062
657.20969,33.961418
657.459327,33.992583
657.708936,34.022489
657.95852,34.058955
658.208076,34.085777
658.457605,34.109436
658.707108,34.125539
658.956584,34.141324
659.206033,34.158875
659.455455,34.181368
659.70485,34.225296
659.954219,34.262931
660.20356,34.303208
660.452875,34.35031
660.702162,34.38921
660.951423,34.425777
661.200656,34.474425
661.449863,34.52581
661.699043,34.569478
661.948195,34.599392
662.197321,34.622908
662.44642,34.650084
662.695491,34.670177
662.944536,34.677687
663.193553,34.689305
663.442544,34.704547
663.691507,34.718022
663.940443,34.74387
664.189352,34.755459
664.438234,34.784415
664.687088,34.822104
664.935916,34.858703
665.184716,34.912989
665.433489,34.963091
665.682235,35.019488
665.930954,35.08858
666.179646,35.15001
666.42831,35.201236
666.676947,35.234993
666.925556,35.264633
667.174139,35.296052
667.422694,35.325683
667.671221,35.342227
667.919722,35.346267
668.168195,35.350033
668.41664,35.364825
668.665059,35.386478
668.913449,35.396544
669.161813,35.419167
669.410149,35.456298
669.658458,35.501197
669.906739,35.550369
670.154992,35.60045
670.403219,35.650837
670.651417,35.703427
670.899588,35.740386
671.147732,35.785282
671.395848,35.841481
671.643937,35.857473
671.891998,35.86163
672.140031,35.858214
672.388037,35.868892
672.636016,35.871838
672.883966,35.869683
673.131889,35.865931
673.379785,35.872484
673.627652,35.882077
673.875492,35.902202
674.123305,35.948873
674.371089,36.001859
674.618846,36.070036
674.866575,36.144103
675.114277,36.228166
675.361951,36.300845
675.609597,36.363521
675.857215,36.418174
676.104805,36.476386
676.352368,36.518274
676.599902,36.552548
676.847409,36.56876
677.094888,36.575436
677.34234,36.585947
677.589763,36.60424
677.837158,36.627617
678.084526,36.650601
678.331865,36.670453
678.579177,36.689348
678.826461,36.710935
679.073716,36.749133
679.320944,36.80145
679.568144,36.841836
679.815315,36.895927
680.062459,36.954447
680.309575,37.012144
680.556662,37.05958
680.803722,37.100432
681.050754,37.14447
681.297757,37.17413
681.544732,37.213453
681.791679,37.236657
682.038598,37.250326
682.285489,37.266077
682.532352,37.281971
682.779187,37.294745
683.025993,37.314942
683.272771,37.328376
683.519521,37.362636
683.766243,37.395418
684.012937,37.43254
684.259602,37.474958
684.506239,37.515894
684.752847,37.568631
684.999428,37.599373
685.24598,37.661693
685.492504,37.712608
685.738999,37.750226
685.985466,37.790306
686.231905,37.818564
686.478315,37.847125
686.724697,37.867296
686.971051,37.890948
687.217376,37.903197
687.463672,37.922416
687.709941,37.930383
687.95618,37.940109
688.202392,37.944457
688.448574,37.97368
688.694729,38.01652
688.940854,38.059377
689.186952,38.097965
689.43302,38.139596
689.67906,38.179172
689.925072,38.218682
